Final Profit;Delivered Percentage;Average Stock;Throughout Time;OTIF Percentage;Quality Performance;Flow Efficiency;Resource Efficiency
 $-872 ;50%;28,6;06:22.6;0%;88%;8%;54%
 $-104 ;50%;22,2;04:22.3;10%;97%;11%;52%
 $892 ;70%;20,5;03:51.2;40%;99%;10%;45%
 $-346 ;40%;23,4;05:14,9;20%;91%;11%;49%
 $492 ;80%;16,3;03:07.5;38%;78%;15%;57%
 $759 ;78%;16,3;3:20;33%;94%;14%;52%
 $2.205 ;100%;21,6;03:04.2;88%;97%;12%;61%
 $-544 ;53%;20,4;04:18,4;0%;87%;16%;66%
 $3.041 ;100%;6,2;00:46.4;95%;92%;52%;81%
 $3.285 ;100%;5,2;00:44.9;93%;98%;55%;71%
 $2.486 ;100%;6,1;0:50;45%;98%;49%;76%
 $1.698 ;75%;6,5;01:13,7;23%;98%;51%;82%
